epoch,train_accur,test_accur,,train_loss,test_loss
0,0.2882,0.8304,,2.032506006575645,0.5656355433166027
1,0.9018,0.9556,,0.3158496604954943,0.13531536776572467
2,0.9591,0.9764,,0.13518198652470365,0.07487147659994661
3,0.9698,0.9789,,0.09690594750040389,0.06728745973668993
4,0.9748,0.9827,,0.08090085938097315,0.0498636317322962
5,0.9785,0.9845,,0.06899962841354786,0.048298626905307174
6,0.9824,0.9853,,0.0565781636837315,0.04076465735561215
7,0.9842,0.9827,,0.05037149213095929,0.05042431150795892
8,0.9859,0.9876,,0.04465009270117004,0.033553642162587494
9,0.9873,0.99,,0.04027887531655266,0.034045221540145575
