epoch,train_accur,test_accur,,train_loss,test_loss
0,0.2817,0.2833,,1.6066953354868396,1.7180043160915375
1,0.3313,0.2972,,1.514154582188047,1.443646917740504
2,0.3376,0.3972,,1.4963461201766441,1.335507740577062
3,0.4003,0.5222,,1.4180094353083907,1.2806288699309032
4,0.439,0.4528,,1.3392126786297764,1.2334380944569905
5,0.4575,0.525,,1.2948447568663235,1.1860209206740062
6,0.4809,0.525,,1.2723503523859485,1.107900510231654
7,0.5022,0.5639,,1.2302147663872818,1.1684389561414719
8,0.4943,0.5639,,1.2491722086380268,1.0794649769862492
9,0.5101,0.5639,,1.2218966381303196,1.1022098412116368
10,0.5275,0.5889,,1.183296717446426,1.0280601580937703
11,0.542,0.5833,,1.1596093753288532,0.9596079687277476
12,0.5477,0.5917,,1.149050572822834,1.019225870569547
13,0.558,0.6278,,1.1042659765687481,0.8944377352794012
14,0.5728,0.5778,,1.1023276982636288,1.0269977847735088
15,0.5586,0.6389,,1.1172562447087517,0.9153897762298584
16,0.5831,0.6444,,1.0368411510155118,0.9077484905719757
17,0.5921,0.6583,,1.0825662068251907,0.8959425042072932
18,0.6027,0.6278,,1.0500436209399124,0.9153866519530615
19,0.594,0.6167,,1.0498636272446862,0.9053273250659307
20,0.6065,0.6417,,1.0111081487145916,0.8458064695199331
21,0.6161,0.6667,,1.0032391856456626,0.839705228805542
22,0.621,0.6806,,0.9928845454906595,0.8706527799367905
23,0.6289,0.6611,,0.9571239732462784,0.8035291557510694
24,0.6316,0.6417,,0.9711205157740362,0.8207795520623525
25,0.6335,0.6833,,0.9347358623455311,0.7948732823133469
26,0.6286,0.6722,,0.9685145842617956,0.869396502772967
27,0.6496,0.7083,,0.9384487497395483,0.7785995652278265
28,0.6319,0.675,,0.97461039136196,0.8058252582947413
29,0.6381,0.7056,,0.9426233100480047,0.7628907337784767
30,0.6433,0.6444,,0.9433028780180832,0.8605067233244578
31,0.6534,0.6889,,0.9132533022041979,0.7773870204885801
32,0.6531,0.7167,,0.9060843884944916,0.7458240116635958
33,0.6586,0.7222,,0.8859440334912004,0.6984590838352839
34,0.6733,0.6861,,0.872458186642877,0.7475863173604012
35,0.6659,0.7389,,0.8695738963012037,0.6946529025832812
36,0.6692,0.7389,,0.8740336083132645,0.6782527640461922
37,0.6673,0.725,,0.868801716072806,0.7760080794493357
38,0.679,0.7556,,0.8482523704397267,0.651545395453771
39,0.673,0.7417,,0.8626353946225397,0.6771792893608412
40,0.6736,0.7667,,0.8596788572854009,0.6539758468667666
41,0.6817,0.7583,,0.8460144421149944,0.6059654280543327
42,0.691,0.7389,,0.8262960016727448,0.6667388416826725
43,0.691,0.7694,,0.822973356164735,0.6237622052431107
44,0.6861,0.7694,,0.8180933625533663,0.6648408323526382
45,0.6842,0.7639,,0.8169757138038504,0.6797112772862116
46,0.7123,0.7556,,0.7764829006688349,0.6293217241764069
47,0.6973,0.7722,,0.7957895675609852,0.6428214063247045
48,0.7014,0.7472,,0.8036409225957147,0.6444008027513822
49,0.6951,0.7083,,0.8211934813137712,0.7701468641559283
