epoch,train_accur,test_accur,,train_loss,test_loss
0,0.2975,0.3028,,1.6114048346229222,1.4521410206089849
1,0.3537,0.3667,,1.4428859762523485,1.3412303354429163
2,0.3728,0.3583,,1.4074185848236085,1.4211387712022532
3,0.3779,0.3639,,1.3772615510484447,1.3330867808798086
4,0.409,0.4889,,1.3265587443890778,1.1933553167011426
5,0.4011,0.4083,,1.3220505797344706,1.2464952883513079
6,0.4215,0.4222,,1.2826785704363948,1.2390225244605022
7,0.445,0.4417,,1.2777036402536475,1.3433705879294353
8,0.4649,0.5083,,1.2386645296345586,1.12286325900451
9,0.4935,0.4944,,1.204675285194231,1.1381539443264836
10,0.5147,0.5778,,1.19749734453533,1.0132439266080442
11,0.5346,0.525,,1.1402197174403979,1.1342082490091738
12,0.5556,0.5889,,1.1330199873965718,1.0128996735033782
13,0.5589,0.5694,,1.0994383760120559,1.0744248499041018
14,0.5371,0.5694,,1.1612377265225287,1.0213373122007952
15,0.5785,0.5639,,1.080625345395959,1.120191682939944
16,0.5654,0.6083,,1.1025772866995438,0.9608887123024982
17,0.5861,0.5917,,1.058637361422829,1.0066757383553877
18,0.5842,0.6111,,1.0661415556202765,0.9630732536315918
19,0.591,0.5972,,1.0657846766969432,1.0098384515098904
20,0.5943,0.6222,,1.0623583964679553,0.9691289067268372
21,0.6071,0.5944,,1.0470496426457945,0.9711865886397983
22,0.6022,0.6111,,1.045677077251932,0.9750596880912781
23,0.627,0.6222,,0.9832361516745194,0.958574529575265
24,0.6207,0.5917,,1.0029570097508638,1.0401956775914067
25,0.6136,0.5944,,1.0319999414941539,0.9521140896755717
26,0.6112,0.6444,,1.0062910064407018,0.9323751978252245
27,0.6196,0.6389,,1.0170033169829327,0.9635457500167515
28,0.6338,0.6694,,0.9885637837907543,0.9119951517685599
29,0.6248,0.6472,,0.9939704506293587,0.8989250608112501
30,0.6264,0.6167,,0.9910778424014216,0.9708302526370339
31,0.652,0.6583,,0.9505765940832055,0.8880151341790739
32,0.6463,0.65,,0.9615732493607895,0.8858903516893801
33,0.6335,0.6583,,0.972061566684557,0.89459242509759
34,0.6199,0.4556,,1.000808846950531,1.3226984246917393
35,0.5376,0.6111,,1.1307862997055054,1.0204865440078403
36,0.6025,0.6111,,1.0475938206133635,0.9349657685860343
37,0.624,0.6361,,0.9757220221602398,1.0334476077038308
38,0.6332,0.65,,0.966852939647177,0.9381385860235795
39,0.6493,0.6639,,0.9568671299063641,0.9711383011030115
40,0.6488,0.6611,,0.9639947300371916,0.8839023890702621
41,0.6411,0.6361,,0.9622599145640498,0.9261078057081803
42,0.6395,0.7139,,0.9507441707279372,0.8102174168047698
43,0.6065,0.6056,,1.0293112397193909,0.9446194690206776
44,0.6387,0.625,,0.9469779626182888,0.9546413292055544
45,0.6488,0.6528,,0.9349392981632896,0.9235000169795492
46,0.6559,0.6833,,0.9210763210835664,0.8195146905339282
47,0.6599,0.6694,,0.9272211346937262,0.8996997540411742
48,0.6373,0.6944,,0.9329887364221656,0.8096836222254712
49,0.6619,0.6833,,0.9030880505624025,0.9041127808715986
