epoch,train_accur,test_accur,,train_loss,test_loss
0,0.8144,0.9139,,0.5440061647226816,0.2581129967099211
1,0.9172,0.9056,,0.24812466693991744,0.2482279502088204
2,0.9301,0.9667,,0.19834399712716083,0.12168881892996271
3,0.9406,0.9778,,0.1756243238278576,0.0628430146538853
4,0.9451,0.9556,,0.1526158805745827,0.11811982845190666
5,0.9513,0.9694,,0.14819584191757934,0.09482026169353049
6,0.9499,0.9861,,0.13504022698075172,0.04433511347451713
7,0.9648,0.9583,,0.11040417743115048,0.12085257497512632
8,0.9651,0.9611,,0.10479459824823975,0.1386254878897489
9,0.9639,0.9639,,0.105431518229346,0.07346384540282493
10,0.9668,0.9806,,0.09878345689629658,0.07275595103856176
11,0.9724,0.9583,,0.08135923973849138,0.1320224240321194
12,0.9704,0.9806,,0.09512490152229548,0.07417514046183997
13,0.9732,0.975,,0.07295368025918562,0.07752573421061647
14,0.9721,0.9806,,0.0901257075830054,0.06585485105018354
15,0.9752,0.9861,,0.07402576754698653,0.06128990434444859
16,0.9763,0.9833,,0.07311035853593296,0.05280240797652975
17,0.9648,0.9778,,0.0961813833497844,0.061104769921005046
18,0.9825,0.9583,,0.05234473668155146,0.16049566038685345
19,0.9713,0.9722,,0.07886940428945129,0.11665563292879268
20,0.9749,0.975,,0.0747568500289105,0.10392857963714859
21,0.973,0.975,,0.07964313375070667,0.08195030220623367
22,0.9777,0.9861,,0.06276958187619859,0.04943869538548016
23,0.9775,0.9861,,0.06331566821836634,0.05255093236119453
24,0.9806,0.975,,0.058461676459050524,0.08710018318531386
