epoch,train_accur,test_accur,,train_loss,test_loss
0,0.3124,0.3278,,1.5158570877143316,1.4738659262657166
1,0.3406,0.3833,,1.4700793560062135,1.4603749016920726
2,0.3637,0.3028,,1.4405287929943629,1.4577223360538483
3,0.3121,0.3417,,1.4693426958152227,1.3640021681785583
4,0.3637,0.4583,,1.4186499757426125,1.2922073205312092
5,0.3763,0.3222,,1.3857147927795137,1.3468854129314423
6,0.3811,0.3972,,1.3705825635365076,1.3193263212839763
7,0.3803,0.4694,,1.3718721675021308,1.3311890661716461
8,0.4073,0.4278,,1.3424903665270125,1.249571144580841
9,0.4197,0.4306,,1.325984959091459,1.3726796905199687
10,0.4138,0.3639,,1.3471768604857581,1.313032180070877
11,0.4225,0.4944,,1.2965455161673682,1.1935109694798787
12,0.4245,0.4417,,1.296195660318647,1.3118880192438762
13,0.4279,0.4694,,1.2875982224941254,1.289153168598811
14,0.4349,0.4528,,1.282528179032462,1.1686351199944813
15,0.4318,0.5028,,1.288819053343364,1.1928211549917858
16,0.4428,0.4889,,1.2529492612395967,1.2166834870974224
17,0.4555,0.525,,1.2584632273231233,1.1750180423259735
18,0.4676,0.4778,,1.2426906611238207,1.1896743228038151
19,0.4594,0.5389,,1.2501213657004493,1.2306017329295476
20,0.4651,0.4167,,1.2440899461507797,1.2502696414788563
21,0.3992,0.4639,,1.3148414215871267,1.2621613144874573
22,0.4403,0.5028,,1.273962676525116,1.1911944051583607
23,0.4752,0.5278,,1.231801443866321,1.1380878786245983
24,0.471,0.4389,,1.2460290789604187,1.1738490164279938
25,0.4814,0.5444,,1.2192561786089624,1.153153772155444
26,0.4831,0.5083,,1.2357125505805016,1.1209834218025208
27,0.4927,0.5639,,1.210227683186531,1.1119276235500972
28,0.5048,0.5944,,1.193693539925984,1.1080292065938313
29,0.3721,0.4056,,1.4154559799603053,1.30006805062294
30,0.4245,0.4778,,1.2912866090025221,1.1998364130655925
31,0.4614,0.5,,1.2559915142399924,1.2022396425406139
32,0.4682,0.5444,,1.2378899742450034,1.1879214892784755
33,0.4924,0.5556,,1.2340212677206313,1.176726629336675
34,0.5082,0.4944,,1.217946782708168,1.1392882764339447
35,0.509,0.4722,,1.2011670257364,1.2020406772692998
36,0.4941,0.5667,,1.214963408453124,1.1443268756071727
37,0.5228,0.5028,,1.188107889677797,1.1602679093678792
38,0.5192,0.5417,,1.201887706560748,1.1355139464139938
39,0.5366,0.5806,,1.166364206799439,1.148888498544693
40,0.527,0.5806,,1.1864944568702154,1.0389341016610463
41,0.4992,0.4972,,1.2388472195182527,1.2249003152052562
42,0.5065,0.5167,,1.2100692710706167,1.1510192354520161
43,0.522,0.5639,,1.1902780192238944,1.0820383230845134
44,0.5375,0.5639,,1.1493724840027946,1.1291380921999614
45,0.5132,0.5694,,1.198691657611302,1.0555725296338399
46,0.5352,0.5972,,1.1789416468569212,1.07949298620224
47,0.5406,0.5667,,1.149789887879576,1.0450186878442764
48,0.5318,0.5667,,1.1566218052591597,1.1244941254456837
49,0.4915,0.4722,,1.209053567477635,1.1147575428088505
