epoch,train_accur,test_accur,,train_loss,test_loss
0,0.3068,0.2972,,1.5732060359871907,1.491721122161202
1,0.3019,0.3167,,1.5418812440789265,1.529871360115383
2,0.3237,0.3639,,1.4877845556839653,1.4744704339815222
3,0.3507,0.4167,,1.4433662766995636,1.409977762595467
4,0.376,0.4028,,1.4179683312125828,1.357577567515166
5,0.3804,0.4389,,1.414317400559135,1.3006815573443538
6,0.3926,0.475,,1.3630402554636416,1.2680591007937556
7,0.412,0.4944,,1.3361851826958033,1.2502699572107066
8,0.3875,0.4722,,1.390057194751242,1.279811291590981
9,0.4033,0.4056,,1.3656262542890465,1.3140572724135027
10,0.4221,0.4028,,1.3250900045685146,1.3573664219483086
11,0.433,0.4222,,1.3109795663667763,1.248374184836512
12,0.4406,0.4806,,1.3121464589367742,1.281395567500073
13,0.4158,0.5417,,1.3163389708684838,1.1535794890445212
14,0.4458,0.4222,,1.27185763846273,1.2884857913722163
15,0.4117,0.4306,,1.3257758586303048,1.2165039959161177
16,0.4368,0.4528,,1.2823121081227842,1.1922574587490247
17,0.4501,0.55,,1.2642588205959486,1.1538820966430332
18,0.4485,0.4917,,1.254553332536117,1.1769129582073377
19,0.4469,0.3667,,1.2733492348505102,1.2815270449804224
20,0.4744,0.4389,,1.2375060402828715,1.2669767659643423
21,0.4406,0.4778,,1.298488009494284,1.239290141541025
22,0.4387,0.4861,,1.2929346001666524,1.2230442451394123
23,0.4035,0.4722,,1.331934084062991,1.2767056900521982
24,0.4368,0.4667,,1.2912000448807426,1.2084681313970815
25,0.4381,0.4722,,1.2988822340965271,1.2160628386165784
26,0.4578,0.4278,,1.2657896871152132,1.237112309621728
27,0.4757,0.5444,,1.2301798322926396,1.1844335120657217
28,0.4665,0.4389,,1.267449609093044,1.4185124843016914
29,0.4469,0.45,,1.2850454335627348,1.231914152269778
30,0.4635,0.5028,,1.238806022250134,1.199815931527511
31,0.4676,0.5389,,1.2282623104427173,1.0950103557628135
32,0.4728,0.5278,,1.2192671407823976,1.1301935911178589
33,0.4826,0.5444,,1.2213361636452054,1.1693264297817065
34,0.4856,0.5222,,1.2252706621004188,1.1034880306409753
35,0.4891,0.4389,,1.1933390031690183,1.2332145286642986
36,0.4896,0.5056,,1.2085890293121337,1.0954342354898867
37,0.5008,0.5444,,1.2146407075550245,1.2072521344475124
38,0.4932,0.4556,,1.208328792841538,1.2121891146120818
39,0.4807,0.4806,,1.191070760851321,1.1328630291897317
40,0.4807,0.4528,,1.2045358206914818,1.330637768558834
41,0.4877,0.4944,,1.2119529760402181,1.1191353590592095
42,0.4905,0.5056,,1.1790424025577046,1.0771982980811077
43,0.4891,0.4861,,1.1785124830577685,1.104635609232861
44,0.5123,0.5056,,1.1667729984159054,1.1769734465557595
45,0.4883,0.5556,,1.1984719862108646,1.1390344319136247
46,0.4975,0.5111,,1.202596044022104,1.158950131872426
47,0.4937,0.5417,,1.2036703317061714,1.108656468598739
48,0.4975,0.4778,,1.17462252896765,1.1403690783873848
49,0.4864,0.4972,,1.20826568344365,1.234359552030978
