epoch,train_accur,test_accur,,train_loss,test_loss
0,0.388,0.4972,,1.4556526508020318,1.2025836533970302
1,0.491,0.4889,,1.2466255892877993,1.1731292300754124
2,0.5169,0.5528,,1.1922985779202502,1.1531700107786391
3,0.552,0.5722,,1.1190103258775628,1.0337138573328655
4,0.5632,0.5972,,1.092052803998408,0.9896236929628585
5,0.5733,0.6167,,1.0702609458695287,0.9380332085821363
6,0.5905,0.6222,,1.048205205798149,1.0030280298656888
7,0.597,0.6611,,1.018660850369412,0.913830531305737
8,0.6131,0.6444,,1.003415397198304,0.9480389336744944
9,0.6144,0.6528,,0.9853044465832088,0.8867164042260912
10,0.6213,0.6667,,0.9588149057782215,0.8643473572201199
11,0.633,0.6639,,0.9475554121577221,0.9127814994917975
12,0.6371,0.6583,,0.9332602189934772,0.8702725701861911
13,0.6439,0.675,,0.9224168314881946,0.8404301295677821
14,0.6425,0.7083,,0.9205877098052399,0.7802926414542728
15,0.6441,0.6528,,0.9025436247172562,0.8812724504205915
16,0.6439,0.6417,,0.9278375099534574,0.8545627524455388
17,0.6569,0.675,,0.8829079002141953,0.8299498314658801
18,0.645,0.7056,,0.8951661985853444,0.7955388022793664
19,0.6657,0.7111,,0.8665476621493049,0.7749628669685787
20,0.667,0.6583,,0.8624951747448548,0.8484651825494236
21,0.6619,0.7028,,0.8739018326220305,0.7951834592554304
22,0.6736,0.6861,,0.8424987396468286,0.8203189624680414
23,0.6768,0.7139,,0.830617813701215,0.7904939774009917
24,0.6842,0.7028,,0.833657640737036,0.7453857223192851
25,0.6717,0.6889,,0.835077916280083,0.7887428866492378
26,0.6899,0.7056,,0.8021082660426264,0.7349229090743594
27,0.6886,0.7222,,0.8164298645828081,0.7498160786098904
28,0.6894,0.7222,,0.8059355980676154,0.7862947046756744
29,0.6804,0.7083,,0.8049268177022104,0.7214138113790088
30,0.694,0.7056,,0.8005345954843189,0.7594149202108383
31,0.6837,0.7194,,0.7940787255764008,0.7006932463910844
32,0.7057,0.7194,,0.7674242541193962,0.7522159275081423
33,0.7016,0.7444,,0.7802343071802803,0.6943001015318765
34,0.7068,0.7139,,0.7710666874180669,0.7637461046377818
35,0.6973,0.7333,,0.7707551100331804,0.7128530045350393
36,0.7125,0.7194,,0.7575678919320521,0.7003780914677514
37,0.7074,0.7556,,0.7522054282219514,0.715724492404196
38,0.7046,0.7417,,0.7542276387629302,0.7252398656474219
39,0.7076,0.7444,,0.7499690002721289,0.6868240151140425
40,0.721,0.7417,,0.7508210677167644,0.6816110571225484
41,0.7065,0.7222,,0.7284060003316921,0.7095591634511947
42,0.7191,0.7528,,0.7370160422895266,0.6569481716387802
43,0.7144,0.7361,,0.7305128057365832,0.6598213728931215
44,0.7226,0.7667,,0.7214507857742517,0.6572581224971348
45,0.7292,0.7361,,0.7103021528733813,0.6450886756181717
46,0.7226,0.7556,,0.7262051042007364,0.621027402083079
47,0.7223,0.7889,,0.716690477664056,0.6221680031882392
48,0.73,0.7333,,0.698716151908688,0.6659588090247578
49,0.7362,0.7778,,0.6954887695934462,0.6386354042424096
