epoch,train_accur,test_accur,,train_loss,test_loss
0,0.3755,0.4194,,1.506178808497967,1.3336044867833456
1,0.4559,0.5333,,1.2919706904810238,1.1669903741942511
2,0.5144,0.5417,,1.1926702408359462,1.0792143987284766
3,0.5496,0.5778,,1.1092821599870986,1.099896290567186
4,0.5777,0.6278,,1.0768537781077532,0.969483194914129
5,0.5948,0.5722,,1.0271475320937586,0.9975838038656447
6,0.6022,0.6389,,1.010402250134088,0.9475074864096111
7,0.6267,0.6667,,0.980231909255836,0.8740958538320329
8,0.6202,0.6722,,0.955510492288469,0.8561042219400405
9,0.6313,0.6722,,0.9265261001251881,0.8731424848238627
10,0.6428,0.6778,,0.9112796514642005,0.855504926542441
11,0.652,0.6583,,0.8989229881425829,0.8600719994968838
12,0.6583,0.6861,,0.9022428450825947,0.8098053402370877
13,0.6627,0.7028,,0.8655470128542457,0.8034205509763624
14,0.6638,0.675,,0.8563800630746065,0.8490111110111077
15,0.6687,0.7,,0.8622374712836509,0.8051927440696293
16,0.6752,0.6667,,0.8328744907070089,0.914829697046015
17,0.6823,0.6667,,0.8201249190859805,0.8508969786680407
18,0.6869,0.7361,,0.8096179049583822,0.7398545986455348
19,0.6856,0.7222,,0.8158693093814622,0.7241810978286796
20,0.7035,0.7194,,0.774528327947868,0.7634250727792581
21,0.6902,0.7444,,0.800007807289723,0.7297774551643266
22,0.7095,0.7056,,0.766472465478387,0.7752455919153161
23,0.7082,0.7167,,0.7710478329191021,0.7207501093960471
24,0.7068,0.7194,,0.7577594131036521,0.6877254183093707
25,0.7147,0.7333,,0.7410629588891479,0.717648163686196
26,0.7166,0.7194,,0.7413216381615803,0.7396477888027827
27,0.718,0.7417,,0.7373417450322045,0.6989395545174678
28,0.7185,0.7167,,0.7313254656582616,0.7342017957733737
29,0.7232,0.7444,,0.7244161250382207,0.6162080104566283
30,0.7262,0.7556,,0.7159993921230042,0.6559495530608628
31,0.721,0.7278,,0.7005597084703853,0.6812816862741278
32,0.7243,0.7556,,0.7127424877031436,0.6243996009541054
33,0.733,0.7361,,0.6970063534145262,0.6519368455227879
34,0.7403,0.7444,,0.6789300612342384,0.6460249931965437
35,0.7387,0.7444,,0.6739836905581759,0.6224011156708003
36,0.7455,0.725,,0.6745786613385012,0.6708489143600066
37,0.7395,0.7472,,0.6684002417722039,0.6267637858270771
38,0.7444,0.7639,,0.6638203159721329,0.5969658215944138
39,0.7526,0.7583,,0.643735830077581,0.5909444577991962
40,0.7545,0.7778,,0.6436751628525896,0.6014479164241089
41,0.7523,0.7472,,0.6446657014730709,0.5884548329644733
42,0.7591,0.7528,,0.6297099808624627,0.6005668102246192
43,0.7657,0.7472,,0.6168562617307135,0.6414365872947706
44,0.7621,0.775,,0.6395026815482994,0.5428050729239152
45,0.7684,0.7861,,0.6177634181604925,0.571693583474391
46,0.7733,0.7667,,0.6027005167032768,0.6002485205108921
47,0.7651,0.7556,,0.6116354713999628,0.535018941697975
48,0.767,0.7861,,0.6028486437413817,0.5124370822889938
49,0.7779,0.7583,,0.582917173898298,0.5246441969234082
