epoch,train_accur,test_accur,,train_loss,test_loss
0,0.2662,0.2639,,1.6668145832808121,1.6931152395580127
1,0.3796,0.4639,,1.4235623960909636,1.260621366293534
2,0.4493,0.4806,,1.3716347652932872,1.1388696924499844
3,0.4741,0.5167,,1.310042239272076,1.1576810634654502
4,0.4937,0.6139,,1.3133171656857365,0.972198019856992
5,0.5324,0.6389,,1.202034204420836,0.9919299638789633
6,0.5586,0.5583,,1.1121491395908853,1.3178922819054646
7,0.5482,0.6139,,1.2163441445516503,1.0556362582289653
8,0.5899,0.6278,,1.0920055638188901,0.9458951043046039
9,0.6054,0.6583,,1.0520634516425755,2.1049553207729175
10,0.6025,0.6639,,1.0453106107919112,55.188847944788314
11,0.6237,0.6528,,0.9930203867995221,1.0245255180027173
12,0.6316,0.6972,,0.9797452206196993,1.6035117908664371
13,0.6354,0.6889,,0.9639270430025847,1.5429938085701154
14,0.6324,0.675,,0.9813109454901322,0.914188071437504
15,0.6569,0.725,,0.9162818488867387,0.7585961727992349
16,0.6613,0.7389,,0.8896221705104994,0.710846061291902
17,0.6635,0.7611,,0.8795636495818262,0.7450047627739285
18,0.6747,0.75,,0.8680124023686284,0.843431100897167
19,0.6856,0.7361,,0.8157826993776405,0.7309536273064821
20,0.6875,0.6861,,0.8302463173866272,7.157348365887351
21,0.6807,0.7556,,0.8380348384380341,1.7882880983145342
22,0.6954,0.7694,,0.8052695668261984,0.6080104527266129
23,0.7125,0.7361,,0.7591935437658559,0.703684679839922
24,0.6986,0.775,,0.7843248867470285,0.6345946873011796
25,0.712,0.75,,0.7749017826888872,0.6376815308695254
26,0.7052,0.8,,0.7712571836036185,0.8938681172287982
27,0.7297,0.7944,,0.721515821373981,0.5491423542084901
28,0.739,0.7111,,0.720708513000737,0.8611185988006385
29,0.715,0.7861,,0.7554113945235377,0.8592974540332089
30,0.7294,0.7722,,0.7154240188391312,0.5700266536163248
31,0.7131,0.7833,,0.7479621314484141,0.6323130020628804
32,0.748,0.8167,,0.6821613062982974,0.5354128136582996
33,0.7351,0.7778,,0.7011654027130293,0.5419039852593256
34,0.7452,0.7611,,0.6876506206781968,0.7077525219191676
35,0.7403,0.7917,,0.6885071078072423,0.7260997761850772
36,0.7417,0.7806,,0.6780244226041048,0.5515580595187519
37,0.7586,0.8111,,0.6439258204854053,0.46239867968403775
38,0.7572,0.8028,,0.6370334311671879,0.5290678733068964
39,0.761,0.7833,,0.6255588018375894,0.7448948608792346
40,0.7646,0.8278,,0.6322856957497804,6.527071440673393
41,0.7594,0.8222,,0.6220150499240212,0.7897352032039476
42,0.7725,0.7667,,0.6312488616808601,0.6351604733778082
43,0.7624,0.7278,,0.6537363625091055,1.301391104641168
44,0.7687,0.8028,,0.6212452712266342,0.5058386442453965
45,0.779,0.7722,,0.5880983290464982,0.8108293148486511
46,0.7807,0.8361,,0.5931168672831162,0.8641985023151273
47,0.7673,0.8389,,0.6026267943174942,1.1275636592636937
48,0.7916,0.825,,0.5657123876654584,1.2750102352836858
49,0.7752,0.8528,,0.5920123374980429,0.9386230195346086
