epoch,train_accur,test_accur,,train_loss,test_loss
0,0.4177,0.5306,,1.3684203037768927,1.104577253593339
1,0.5054,0.5611,,1.2312002961801807,1.0336095495356454
2,0.545,0.6611,,1.150833033203819,0.876350818739997
3,0.5861,0.675,,1.0738760869227724,0.9516734350058768
4,0.5779,0.6417,,1.0918619755436392,0.8647014196548197
5,0.6142,0.7028,,0.9886232200271423,0.7623374286625121
6,0.6398,0.725,,0.9747604183641654,0.6480414768060049
7,0.6409,0.6056,,0.9354182466182833,1.1221751955648263
8,0.667,0.7278,,0.8921699303492482,0.6966818476302756
9,0.6681,0.7194,,0.8736971415465694,0.7539482353876035
10,0.6779,0.7556,,0.842603821088286,0.6563775825210744
11,0.6891,0.7639,,0.8334127487959685,0.679209573732482
12,0.7079,0.7556,,0.7986194536674256,0.6709742825271354
13,0.7076,0.7389,,0.7960893993219259,0.6886647678083844
14,0.7196,0.7361,,0.7586180597608645,0.6919506917707622
15,0.7264,0.75,,0.7550994782406261,0.6554771378222439
16,0.7289,0.8194,,0.7310731951837186,0.4809927468912469
17,0.7354,0.7972,,0.7157486398949862,0.52170270598597
18,0.7458,0.8028,,0.6868182043169578,0.5502703252351946
