epoch,train_accur,test_accur,,train_loss,test_loss
0,0.2537,0.3361,,1.5801312384398087,1.5120965138725613
1,0.3204,0.3639,,1.462557606075121,1.358565480812736
2,0.4335,0.5028,,1.2944478439248126,1.2011986608090608
3,0.4654,0.55,,1.2209560259528782,1.0681653463322183
4,0.5098,0.6111,,1.1675356719804846,0.9836327329925869
5,0.5338,0.6028,,1.1146942517031795,0.9914847716041233
6,0.5782,0.6556,,1.062112884417824,0.9368537923564082
7,0.5793,0.6611,,1.0628019892651102,0.95060184986695
8,0.5948,0.6639,,1.0322617297587187,0.8650551956632863
9,0.6063,0.6833,,0.995830816289653,0.9036020766133848
10,0.6087,0.6806,,0.9983462126358695,0.8514650671378426
11,0.6163,0.6861,,0.9689733448235885,0.804850072964378
12,0.6226,0.6889,,0.9450626057127248,0.8685426971186763
13,0.6292,0.7083,,0.9332725742588872,0.7948481038860653
14,0.6283,0.6806,,0.9249085307121276,0.7943588637787363
15,0.6515,0.675,,0.9092299119285915,0.8361215176789657
16,0.6531,0.6944,,0.8986699353093687,0.7664859178273574
17,0.6605,0.7,,0.8766008019447327,0.8446267830288928
18,0.6602,0.6944,,0.897430329737456,0.8337873505509418
19,0.6654,0.7139,,0.858089783658152,0.7681912766850513
20,0.6624,0.7056,,0.8710288211055424,0.7409919616968735
21,0.6681,0.7056,,0.8580036038937776,0.7741066295167675
22,0.6752,0.7139,,0.8447438711705415,0.7169138445802357
23,0.6687,0.7194,,0.8532226355179496,0.7032093457553698
24,0.6834,0.7111,,0.8231213631837264,0.7130973092887712
25,0.6763,0.6722,,0.8348271841588227,0.8055580232454382
26,0.6752,0.7361,,0.8317245457483374,0.7166343266549318
27,0.6858,0.7167,,0.8029871577801911,0.7569012434586234
28,0.6954,0.7333,,0.7960131857706153,0.6741590733113496
29,0.7104,0.7194,,0.7692537680916164,0.6793162032313969
30,0.6916,0.75,,0.795072591304779,0.6328511976677439
31,0.709,0.7528,,0.7737987339496613,0.6403913484967273
32,0.7052,0.7389,,0.7766573128492936,0.6460667161837869
33,0.6975,0.7361,,0.7745303988456727,0.6660287743029387
34,0.7185,0.7306,,0.7418514466804007,0.6573236416215482
35,0.7068,0.7556,,0.766425737609034,0.6221016956412274
36,0.7117,0.7694,,0.7552233265793842,0.6063123669313348
37,0.7109,0.7389,,0.7464533969112065,0.6264353239017985
38,0.7177,0.7083,,0.7245497415895047,0.6476693908157556
39,0.7123,0.7639,,0.7321598143681236,0.5994800024706385
40,0.7221,0.7528,,0.7161918396535127,0.5770952857058981
41,0.7316,0.7778,,0.7011040462099988,0.5563122105339299
42,0.7262,0.7611,,0.7084275476310564,0.6081242885278619
43,0.7373,0.7306,,0.68619043049605,0.6439269146193629
44,0.7332,0.7861,,0.7020667757676995,0.5311286063945811
45,0.7436,0.7944,,0.6942120285137839,0.5343227665061536
46,0.7302,0.7556,,0.6906557202339172,0.6148159769566163
47,0.733,0.7667,,0.6967782562193663,0.5941482808278955
48,0.7392,0.7917,,0.6745953212613645,0.5327985973461814
49,0.7447,0.7944,,0.6641112156536269,0.5402031612137089
